Date,Network,Profile,Impressions,Engagements,AER
2023-11-18T20:46:00Z,Twitter,Perfil A,10466,87,0.0083
2023-11-19T07:03:00Z,Instagram,Perfil C,6618,0,0
2023-11-19T07:04:00Z,Instagram,Perfil C,5937,0,0
2023-11-20T06:28:00Z,Twitter,Perfil A,17811,504,0.028300000000000002
2023-11-20T06:29:00Z,Instagram,Perfil C,7351,208,0.028300000000000002
2023-11-20T07:33:00Z,Instagram,Perfil C,8181,1,1e-4
2023-11-20T07:37:00Z,Instagram,Perfil C,6950,1,1e-4
2023-11-20T12:12:00Z,Twitter,Perfil B,47940,737,0.0154
2023-11-20T12:33:00Z,Instagram,Perfil C,5624,2,4e-4
2023-11-20T12:33:00Z,Instagram,Perfil C,5344,0,0
2023-11-20T12:34:00Z,Instagram,Perfil C,5158,0,0
2023-11-20T13:05:00Z,Twitter,Perfil A,7341,56,0.0076
2023-11-20T16:16:00Z,Instagram,Perfil C,4831,1,2e-4
2023-11-20T16:16:00Z,Instagram,Perfil C,4648,0,0
2023-11-20T16:34:00Z,Instagram,Perfil C,4560,0,0
2023-11-21T10:59:00Z,Twitter,Perfil B,4365,172,0.0394
2023-11-21T16:23:00Z,Instagram,Perfil C,9147,401,0.0438
2023-11-21T16:24:00Z,Twitter,Perfil A,7430,203,0.0273
2023-11-22T05:59:00Z,TikTok,Perfil D,278,36,0.1295
2023-11-22T11:29:00Z,Twitter,Perfil A,9696,109,0.011200000000000002
2023-11-22T12:06:00Z,Twitter,Perfil B,94979,3172,0.0334
2023-11-22T14:24:00Z,Twitter,Perfil A,8096,371,0.0458
2023-11-23T07:09:00Z,Twitter,Perfil A,8762,434,0.0495
2023-11-23T10:20:00Z,Twitter,Perfil A,10318,664,0.0644
2023-11-23T12:01:00Z,TikTok,Perfil D,303,25,0.0825
2023-11-23T12:06:00Z,Instagram,Perfil C,14397,474,0.0329
2023-11-23T13:59:00Z,Twitter,Perfil A,10813,656,0.060700000000000004
2023-11-23T15:30:00Z,Twitter,Perfil B,187942,7987,0.0425
2023-11-23T17:19:00Z,Twitter,Perfil B,66979,1532,0.0229
2023-11-24T09:21:00Z,Twitter,Perfil A,8518,524,0.061500000000000006
2023-11-24T09:24:00Z,TikTok,Perfil D,370,37,0.1
2023-11-24T09:25:00Z,Instagram,Perfil C,7339,0,0
2023-11-24T14:13:00Z,Twitter,Perfil A,17558,647,0.0368
2023-11-24T14:14:00Z,Instagram,Perfil C,8767,333,0.038
2023-11-24T15:52:00Z,Twitter,Perfil B,22902,481,0.021
2023-11-27T06:05:00Z,Twitter,Perfil A,11262,84,0.0075
2023-11-27T07:44:00Z,Twitter,Perfil A,470,42,0.0894
2023-11-27T10:25:00Z,Instagram,Perfil C,8829,258,0.0292
2023-11-27T10:29:00Z,Twitter,Perfil A,19052,1481,0.07769999999999999
2023-11-27T12:23:00Z,Twitter,Perfil B,21282,388,0.0182
