Date,Network,Profile,Impressions,Engagements,AER
11/20/2023 6:29 am,Instagram,Perfil C,7351,208,0.028300000000000002
11/20/2023 7:33 am,Instagram,Perfil C,8181,1,1e-4
11/20/2023 7:37 am,Instagram,Perfil C,6950,1,1e-4
11/20/2023 12:12 pm,Twitter,Perfil B,47940,737,0.0154
11/20/2023 12:33 pm,Instagram,Perfil C,5624,2,4e-4
11/20/2023 12:33 pm,Instagram,Perfil C,5344,0,0
11/20/2023 12:34 pm,Instagram,Perfil C,5158,0,0
11/20/2023 1:05 pm,Twitter,Perfil A,7341,56,0.0076
11/20/2023 4:16 pm,Instagram,Perfil C,4831,1,2e-4
11/20/2023 4:16 pm,Instagram,Perfil C,4648,0,0
11/20/2023 4:34 pm,Instagram,Perfil C,4560,0,0
11/21/2023 10:59 am,Twitter,Perfil B,4365,172,0.0394
11/21/2023 4:23 pm,Instagram,Perfil C,9147,401,0.0438
11/21/2023 4:24 pm,Twitter,Perfil A,7430,203,0.0273
11/22/2023 5:59 am,TikTok,Perfil D,278,36,0.1295
11/22/2023 11:29 am,Twitter,Perfil A,9696,109,0.011200000000000002
11/22/2023 12:06 pm,Twitter,Perfil B,94979,3172,0.0334
11/22/2023 2:24 pm,Twitter,Perfil A,8096,371,0.0458
11/23/2023 7:09 am,Twitter,Perfil A,8762,434,0.0495
11/23/2023 10:20 am,Twitter,Perfil A,10318,664,0.0644
11/23/2023 12:01 pm,TikTok,Perfil D,303,25,0.0825
11/23/2023 12:06 pm,Instagram,Perfil C,14397,474,0.0329
11/23/2023 1:59 pm,Twitter,Perfil A,10813,656,0.060700000000000004
11/23/2023 3:30 pm,Twitter,Perfil B,187942,7987,0.0425
11/23/2023 5:19 pm,Twitter,Perfil B,66979,1532,0.0229
11/24/2023 9:21 am,Twitter,Perfil A,8518,524,0.061500000000000006
11/24/2023 9:24 am,TikTok,Perfil D,370,37,0.1
11/24/2023 9:25 am,Instagram,Perfil C,7339,0,0
11/24/2023 2:13 pm,Twitter,Perfil A,17558,647,0.0368
11/24/2023 2:14 pm,Instagram,Perfil C,8767,333,0.038
11/24/2023 3:52 pm,Twitter,Perfil B,22902,481,0.021
11/27/2023 6:05 am,Twitter,Perfil A,11262,84,0.0075
11/27/2023 7:44 am,Twitter,Perfil A,470,42,0.0894
11/27/2023 10:25 am,Instagram,Perfil C,8829,258,0.0292
11/27/2023 10:29 am,Twitter,Perfil A,19052,1481,0.07769999999999999
11/27/2023 12:23 pm,Twitter,Perfil B,21282,388,0.0182
